Keuwl Accelerometer Data File
2022-10-24 21-08-23

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,5.031079,8.903797,1.335166,10.313682,82.561852,60.531437
0.0023632,5.026290,8.946890,1.107727,10.321700,83.839142,60.673077
0.0047240,4.940103,9.001955,0.966475,10.313771,84.623085,61.242855
0.0070856,4.829974,9.023502,0.791706,10.265429,85.576759,61.841370
0.0094484,4.770122,9.042654,0.657636,10.244811,86.319534,62.187748
0.0118110,4.743787,9.049837,0.530749,10.231557,87.026520,62.337158
0.0141745,4.786880,9.083354,0.442167,10.277016,87.534096,62.211002
0.0165365,4.808427,9.049837,0.348798,10.253886,88.050644,62.017063
0.0188993,4.870674,9.030684,0.322462,10.265511,88.199913,61.659920
0.0212626,4.892220,9.016319,0.286551,10.262064,88.399902,61.515911
0.0236236,4.925738,9.001955,0.339221,10.267092,88.106621,61.313168
0.0259855,4.954468,8.951679,0.327251,10.236524,88.168007,61.036877
0.0283480,5.014319,8.992378,0.281763,10.299789,88.432411,60.855141
0.0307106,4.865886,8.930132,0.346403,10.175662,88.049141,61.414742
0.0330736,4.846733,8.915767,0.384709,10.155280,87.828964,61.470890
0.0354354,4.810822,8.901402,0.408650,10.126498,87.687225,61.610703
0.0377541,4.863492,8.896614,0.434985,10.148522,87.543442,61.335999
0.0401182,4.853915,8.863097,0.470897,10.116161,87.331978,61.292484
0.0425293,4.851521,8.834368,0.545114,10.093585,86.904182,61.225971
0.0449404,4.806034,8.743392,0.729459,10.003848,85.818405,61.203457
0.0473516,4.841945,8.731421,0.808465,10.016774,85.370560,60.989765
0.0497626,4.882645,8.743392,0.913805,10.055951,84.786224,60.819336
0.0521734,4.882645,8.798456,1.026327,10.114662,84.176216,60.972206
0.0545842,4.892220,8.889432,1.124485,10.208834,83.676140,61.174198
0.0569950,4.846733,8.942102,1.272920,10.250480,82.866508,61.541744
0.0594057,4.808427,8.949285,1.399807,10.255248,82.154831,61.750977
0.0618165,4.755757,8.934920,1.579364,10.244238,81.131279,61.975128
0.0642271,4.746181,8.908586,1.754133,10.245297,80.141617,61.952877
0.0666378,4.734210,8.882250,1.869050,10.237209,79.480263,61.942528
0.0690484,4.743787,8.867885,1.976785,10.249418,78.879799,61.855888
0.0714590,4.772516,8.860703,2.158736,10.293159,77.893745,61.692390
0.0738696,4.801245,8.848732,2.309565,10.328897,77.079300,61.516125
0.0762802,4.818004,8.824791,2.455605,10.349883,76.275169,61.367123
0.0786907,4.808427,8.803244,2.560945,10.352609,75.677948,61.356155
0.0811011,4.880250,8.740998,2.647132,10.355153,75.188828,60.824623
0.0835116,4.964044,8.659599,2.685438,10.336439,74.941628,60.176865
0.0859220,5.028685,8.582988,2.745290,10.319494,74.571861,59.634399
0.0883323,5.145995,8.537499,2.778808,10.348523,74.423653,58.920444
0.0907436,5.095719,8.523135,2.745290,10.302757,74.546173,59.126099
0.0931539,5.315976,8.563834,2.671073,10.427536,75.157921,58.170174
0.0955641,5.485957,8.604534,2.498698,10.506057,76.241257,57.479809
0.0979745,5.591298,8.568624,2.469969,10.525430,76.428017,56.874283
0.1003845,5.655938,8.501588,2.374205,10.483486,76.910606,56.364964
0.1027947,5.677485,8.396248,2.218589,10.375594,77.653244,55.933712
0.1052046,5.720579,8.362731,2.039031,10.335277,78.621559,55.625675
0.1076147,5.734944,8.369912,1.809198,10.306221,79.889671,55.581619
0.1100247,5.730155,8.369912,1.572182,10.264592,81.189583,55.603931
0.1124346,5.725367,8.293302,1.316013,10.163197,82.559982,55.380337
0.1148445,5.730155,8.223872,1.110121,10.084599,83.680023,55.132336
0.1172544,5.677485,8.178385,0.949716,10.001089,84.550911,55.231380
0.1196642,5.634392,8.106562,0.813253,9.905760,85.290771,55.199120
0.1220268,5.615239,8.077832,0.683971,9.861547,86.022919,55.195221
0.1243894,5.586510,8.085015,0.549902,9.842710,86.797279,55.356659
0.1267520,5.552992,8.065862,0.418226,9.801468,87.554459,55.454292
0.1291146,5.473987,8.061074,0.305704,9.748790,88.203018,55.820980
0.1314772,5.373435,8.061074,0.200363,9.689937,88.815186,56.312958
0.1338398,5.268094,8.058680,0.111782,9.628480,89.334808,56.826683
0.1362024,5.162754,8.063468,0.027988,9.574672,89.832512,57.369999
0.1385650,5.086143,8.082621,-0.015105,9.549755,90.090630,57.819065
0.1409276,5.047837,8.123321,-0.084534,9.564316,90.506416,58.143150
0.1432903,4.980803,8.171203,-0.161145,9.570942,90.964729,58.635368
0.1456529,4.901797,8.211902,-0.149175,9.564790,90.893639,59.166439
0.1480155,4.801245,8.238236,-0.165934,9.536668,90.996971,59.766361
0.1503781,4.736604,8.271754,-0.175510,9.533527,91.054863,60.203518
0.1527407,4.688723,8.312454,-0.187481,9.545479,91.125404,60.574394
0.1551505,4.643235,8.334002,-0.161145,9.541551,90.967705,60.875919
0.1575602,4.588170,8.343577,-0.103687,9.522465,90.623886,61.193413
0.1599699,4.533106,8.377095,-0.031864,9.525009,90.191673,61.580807
0.1623798,4.458889,8.408218,0.068688,9.517591,89.586494,62.062935
0.1647896,4.401431,8.446524,0.183605,9.526283,88.895645,62.476261
0.1671993,4.348760,8.460889,0.322462,9.518526,88.058601,62.797569
0.1696088,4.324819,8.492012,0.475685,9.541730,87.142441,63.011127
0.1720186,4.308061,8.513558,0.583419,9.559312,86.500977,63.159519
0.1744295,4.312849,8.542288,0.722277,9.596511,85.683578,63.211605
0.1768391,4.332002,8.537499,0.832406,9.609789,85.030777,63.096363
0.1792488,4.276937,8.527923,0.932958,9.585826,84.414742,63.365246
0.1816588,4.305666,8.535106,1.055057,9.617689,83.702003,63.230633
0.1840686,4.394248,8.559047,1.189126,9.694366,82.954262,62.823856
0.1864783,4.468465,8.580593,1.282496,9.759025,82.448547,62.491116
0.1888881,4.530712,8.606929,1.387836,9.825103,81.879578,62.237556
0.1912979,4.636052,8.630870,1.490783,9.909961,81.347992,61.757633
0.1936799,4.750969,8.616505,1.581758,9.965833,80.867500,61.128532
0.1960393,4.827580,8.611716,1.684705,10.015259,80.316017,60.725761
0.1984025,4.856309,8.659599,1.766104,10.084222,79.913467,60.716263
0.2007663,4.904191,8.690722,1.825956,10.144647,79.630699,60.563881
0.2031304,4.997561,8.688328,1.842715,10.191087,79.582687,60.092316
0.2054882,5.064596,8.671569,1.919326,10.223994,79.179802,59.713100
0.2078524,5.062201,8.693116,1.964814,10.249715,78.948311,59.786774
0.2102164,5.088537,8.693116,2.015090,10.272491,78.687286,59.657322
0.2125788,5.119660,8.705086,2.082125,10.311386,78.350456,59.539238
0.2149409,5.122054,8.717057,2.132401,10.332940,78.090332,59.561939
0.2173048,5.100508,8.697904,2.130007,10.305612,78.071892,59.612362
0.2196664,5.047837,8.740998,2.256894,10.343080,77.396469,59.994003
0.2220386,5.033473,8.700298,2.343082,10.320905,76.878136,59.948891
0.2243917,5.031079,8.685934,2.371811,10.314198,76.705521,59.919659
0.2268016,4.964044,8.671569,2.359841,10.266776,76.711632,60.210999
