Keuwl Accelerometer Data File
2022-10-21 15-22-31

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
49.5364990,0.420411,11.770649,-2.784218,12.102759,103.299911,87.954445
49.5389709,0.334172,11.775439,-2.594974,12.062608,102.422890,88.374451
49.5414658,0.243143,11.799395,-2.273977,12.018976,100.906036,88.819504
49.5439568,0.099413,11.806581,-2.008076,11.976543,99.652222,89.517570
49.5464516,0.003594,11.794603,-1.737385,11.921879,98.379601,89.982544
49.5489426,-0.142532,11.804186,-1.449924,11.893754,97.002136,90.691795
49.5514336,-0.223979,11.737111,-1.188815,11.799290,95.782539,91.093239
49.5539284,-0.269493,11.746694,-1.016339,11.793659,94.943695,91.314255
49.5564156,-0.338963,11.717948,-0.781580,11.748876,93.814354,91.656921
49.5589104,-0.307822,11.686806,-0.649827,11.708904,93.181465,91.508781
49.5614014,-0.374896,11.703574,-0.616291,11.725783,93.012772,91.834702
49.5638924,-0.329381,11.732321,-0.491724,11.747239,92.399033,91.608139
49.5663872,-0.319799,11.684410,-0.362368,11.694401,91.775673,91.567780
49.5688705,-0.219188,11.693993,-0.242592,11.698563,91.188225,91.073807
49.5713577,-0.087435,11.696388,-0.213847,11.698669,91.047401,90.428299
49.5738487,0.070667,11.770649,-0.204265,11.772633,90.994179,89.656013
49.5763435,0.209606,11.866468,-0.266548,11.871312,91.286575,88.988045
49.5788345,0.386874,11.888028,-0.367159,11.899987,91.768066,88.136078
49.5813293,0.580909,11.885633,-0.415069,11.907057,91.997681,87.201904
49.5838203,0.755781,11.926356,-0.400696,11.956995,91.920418,86.373978
49.5863113,0.980958,11.933542,-0.484538,11.983592,92.317299,85.300758
49.5888023,1.155829,12.019780,-0.611499,12.090698,92.899033,84.507294
49.5912933,1.206135,12.096437,-0.606709,12.171550,92.857178,84.305862
49.5937881,1.234880,12.070086,-0.702528,12.153413,93.313835,84.158440
49.5962791,1.316327,12.091645,-0.712111,12.183911,93.350662,83.787102
49.5987701,1.464849,12.158719,-0.728879,12.268312,93.406036,83.130272
49.6012611,1.613369,12.218607,-0.733670,12.346481,93.406715,82.478065
49.6037560,1.625347,12.285681,-0.769602,12.416602,93.553566,82.463760
49.6062431,1.646906,12.288076,-0.879795,12.429125,94.059074,82.366440
49.6087341,1.666070,12.254539,-1.023525,12.409558,94.731064,82.257797
49.6112289,1.687630,12.261726,-1.102577,12.426332,95.090500,82.163391
49.6137199,1.663675,12.240167,-1.234329,12.414228,95.706268,82.259827
49.6162148,1.622952,12.211420,-1.447529,12.403551,96.701851,82.429504
49.6187057,1.639720,12.110809,-1.495439,12.312462,96.976219,82.289436
49.6211967,1.620556,12.074877,-1.521790,12.277813,97.119911,82.356071
49.6236916,1.539109,12.005407,-1.528976,12.199854,97.199661,82.694458
49.6261787,1.522341,11.967079,-1.469089,12.152642,96.943260,82.750305
49.6286736,1.428916,11.823350,-1.437947,11.995878,96.884605,83.108917
49.6311684,1.342678,11.720343,-1.469089,11.888121,97.098541,83.464706
49.6336594,1.189366,11.638896,-1.363686,11.778715,96.648354,84.165260
49.6361542,1.076777,11.552658,-1.162464,11.660818,95.721306,84.675072
49.6386452,0.949816,11.425696,-1.033108,11.511559,95.148949,85.247940
49.6411362,0.846810,11.320294,-0.863027,11.384681,94.347534,85.721985
49.6436310,0.760571,11.258012,-0.645037,11.302095,93.271782,86.135071
49.6461182,0.645588,11.071162,-0.508493,11.101621,92.625267,86.662720
49.6486130,0.537790,10.903478,-0.369554,10.922986,91.938843,87.176300
49.6511040,0.506648,10.771725,-0.276130,10.787168,91.466812,87.307076
49.6535950,0.408433,10.654346,-0.225824,10.664562,91.213341,87.804649
49.6560898,0.355732,10.524988,-0.189892,10.532710,91.033028,88.064209
49.6585808,0.226375,10.429169,-0.187496,10.433311,91.029709,88.756538
49.6610718,0.166488,10.316580,-0.244988,10.320831,91.360168,89.075447
49.6635590,0.039526,10.299811,-0.237802,10.302632,91.322594,89.780128
49.6660538,-0.132950,10.242319,-0.268943,10.246712,91.503998,90.743683
49.6685448,-0.247934,10.170454,-0.259361,10.176781,91.460373,91.396469
49.6710396,-0.276680,10.132127,-0.266548,10.139408,91.506378,91.564201
49.6735306,-0.264702,10.081821,-0.297689,10.089688,91.690720,91.503983
49.6760216,-0.214397,10.029120,-0.249779,10.034521,91.426353,91.224648
49.6785164,-0.161696,9.962046,-0.221033,9.965810,91.270874,90.929901
49.6810036,-0.118577,9.887786,-0.209055,9.890706,91.211128,90.687073
