Keuwl Accelerometer Data File
2022-10-19 21-54-38

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
14.1420174,5.473050,5.857950,-3.810000,8.876145,115.419365,46.945518
14.1444931,5.401050,6.010950,-4.200000,9.107298,117.462547,48.059189
14.1469688,5.296050,6.169050,-4.570950,9.327321,119.344543,49.354336
14.1494455,5.104050,6.388950,-4.902000,9.534130,120.940849,51.379093
14.1519213,4.855050,6.648000,-5.293950,9.787407,122.744522,53.859257
14.1543980,4.639950,6.978000,-5.706000,10.138050,124.251747,56.378487
14.1568747,4.555950,7.318050,-6.178051,10.605605,125.628471,58.095119
14.1593504,4.596000,7.612950,-6.580050,11.062428,126.499138,58.880276
14.1618271,4.611000,7.866000,-6.901050,11.435024,127.121063,59.621437
14.1643038,4.588950,8.022000,-7.188000,11.708044,127.874718,60.228474
14.1667805,4.551000,8.170051,-7.468950,11.968565,128.612289,60.880684
14.1692553,4.441050,8.295000,-7.638000,12.118952,129.068756,61.835903
14.1717329,4.315950,8.388000,-7.714951,12.186322,129.277924,62.772430
14.1742086,4.201050,8.515050,-7.714951,12.234188,129.094833,63.739758
14.1766844,4.114950,8.649000,-7.642951,12.253681,128.588806,64.556213
14.1791611,4.039050,8.745001,-7.509000,12.213682,127.937561,65.209221
14.1816368,4.021950,8.850000,-7.366050,12.196609,127.152779,65.560219
14.1841116,4.060050,8.913000,-7.236001,12.177244,126.457268,65.509789
14.1865892,4.090950,8.980050,-7.120950,12.169022,125.815025,65.507896
14.1890650,4.144050,9.064051,-6.954000,12.152707,124.905052,65.430298
14.1915417,4.110000,9.133050,-6.666000,12.030805,123.647209,65.771591
14.1940193,3.913950,9.159000,-6.286050,11.777977,122.256622,66.861343
14.1964960,3.718050,9.073050,-5.914950,11.451235,121.100037,67.716644
14.1989717,3.553050,9.042001,-5.566950,11.197003,119.813751,68.547676
14.2014494,3.547950,9.019951,-5.275050,11.035109,118.556442,68.528069
14.2039251,3.730050,8.994000,-5.023950,10.956523,117.292618,67.474922
14.2064009,4.003050,8.998950,-4.777050,10.946493,115.874413,66.018814
14.2088776,4.270950,9.022950,-4.509000,10.953800,114.307770,64.669792
14.2113523,4.507950,9.001050,-4.186050,10.902455,112.578873,63.397148
14.2138290,4.690050,8.925000,-3.859950,10.795898,110.949112,62.278263
14.2163057,4.735050,8.758950,-3.537000,10.566469,109.556618,61.604538
14.2187824,4.755000,8.611051,-3.264000,10.364068,108.356842,61.092632
14.2212591,4.777950,8.458051,-3.124950,10.204545,107.832253,60.537907
14.2237358,4.872000,8.455050,-3.091950,10.236426,107.580994,60.048435
14.2262115,5.029950,8.577001,-3.159000,10.432862,107.625450,59.610668
14.2286873,5.101950,8.769000,-3.214050,10.642151,107.578445,59.808441
14.2311649,5.037000,8.913000,-3.184950,10.721793,107.280739,60.527924
14.2336426,4.764000,9.054001,-3.111000,10.693407,106.913460,62.247719
14.2361193,4.447950,9.147000,-3.022050,10.610593,106.547760,64.067543
14.2385960,4.197000,9.291000,-2.955000,10.614590,106.164162,65.690002
14.2410736,4.053000,9.436951,-2.910000,10.674781,105.819351,66.757347
14.2435513,4.093950,9.631050,-2.895000,10.858111,105.463295,66.970711
14.2460270,4.170000,9.805950,-2.929050,11.051014,105.369812,66.962280
14.2485027,4.290000,9.982950,-3.015000,11.276241,105.508202,66.745224
14.2509813,4.339950,10.191001,-3.088950,11.499273,105.582245,66.932732
14.2534571,4.261050,10.312950,-3.124950,11.587873,105.644882,67.550819
14.2559338,4.075050,10.399950,-3.154050,11.606594,105.768211,68.603081
14.2584114,3.841950,10.419001,-3.247050,11.569766,106.298981,69.758820
14.2608881,3.634050,10.486051,-3.436950,11.617927,107.207413,70.885712
14.2633648,3.636000,10.560000,-3.742950,11.778955,108.527870,71.000481
14.2658424,3.699000,10.692000,-4.072950,12.024574,109.798843,70.916451
14.2683182,3.901950,10.882951,-4.408950,12.373466,110.874550,70.275322
14.2707939,4.156050,10.999950,-4.698000,12.662657,111.778053,69.302208
14.2732716,4.510050,11.047951,-5.019000,12.945583,112.811447,67.793488
14.2757473,4.852950,10.999950,-5.329950,13.151365,113.908508,66.193924
14.2782230,5.164050,10.893001,-5.593950,13.289739,114.892845,64.635750
14.2806997,5.419950,10.759050,-5.788050,13.365424,115.662010,63.262985
14.2831764,5.616000,10.561951,-5.907000,13.341173,116.280411,61.999527
14.2856522,5.703000,10.330050,-5.998050,13.236720,116.945145,61.097851
14.2881289,5.853000,10.072050,-6.049050,13.126111,117.441391,59.838570
14.2906046,6.133950,9.886950,-6.049050,13.113663,117.469635,58.184177
14.2930813,6.306000,9.693001,-5.967000,13.012494,117.294182,56.953075
14.2955580,6.474000,9.547050,-5.718000,12.874563,116.367790,55.858204
14.2980347,6.658051,9.427051,-5.469000,12.771409,115.354790,54.767555
14.3005104,6.861001,9.298051,-5.164950,12.657164,114.083366,53.576508
14.3029871,7.075050,9.087001,-4.816050,12.482959,112.694031,52.096020
14.3054638,7.314000,8.905050,-4.429950,12.345808,111.027885,50.602654
14.3079414,7.531950,8.755051,-4.111950,12.259255,109.597839,49.294662
14.3104181,7.768950,8.647051,-3.870000,12.251734,108.413567,48.061863
14.3128958,7.980000,8.532001,-3.670950,12.245461,107.444420,46.914700
14.3153734,8.101951,8.424001,-3.508050,12.202943,106.706894,46.116413
14.3178501,8.221050,8.299951,-3.369000,12.158331,106.086838,45.273628
14.3203259,8.401051,8.218050,-3.214050,12.183764,105.295532,44.369114
14.3228035,8.635950,8.170051,-3.076950,12.279943,104.511078,43.412041
14.3252792,8.875051,8.130000,-2.962050,12.395046,103.825783,42.491276
14.3277559,9.105000,8.089050,-2.814000,12.500094,103.009834,41.618477
14.3302326,9.304050,7.942950,-2.670000,12.521370,102.312027,40.487679
14.3327093,9.414001,7.750950,-2.553000,12.458670,101.824677,39.466091
14.3351851,9.475950,7.524000,-2.424000,12.340178,101.328362,38.449932
14.3376627,9.510000,7.258050,-2.341950,12.190330,101.076263,37.350941
14.3401394,9.523951,7.012050,-2.311050,12.050537,101.056671,36.362518
14.3426170,9.547951,6.841950,-2.293950,11.968202,101.050285,35.624943
14.3450928,9.684000,6.664050,-2.353950,11.988766,101.323380,34.533829
14.3475685,9.864000,6.517951,-2.424000,12.068884,101.586494,33.455997
14.3500462,9.985950,6.352950,-2.581950,12.113862,102.306435,32.464062
14.3525219,10.102950,6.211950,-2.830950,12.193122,103.425217,31.585903
14.3549986,10.081950,5.994000,-3.099000,12.131676,104.800072,30.732664
14.3574762,9.981001,5.793000,-3.432000,12.039845,106.562050,30.130997
14.3599520,9.859051,5.599050,-3.810000,11.961035,108.574310,29.592661
14.3624287,9.873000,5.460000,-4.180950,12.031960,110.333687,28.943621
14.3649063,9.991051,5.364000,-4.579050,12.229526,111.988831,28.230484
14.3673820,10.162951,5.338050,-4.921050,12.489879,113.203812,27.710527
14.3698587,10.333051,5.266050,-5.194050,12.707533,114.125580,27.004833
14.3723345,10.443001,5.194050,-5.433000,12.866697,114.976906,26.444441
14.3748112,10.510051,5.050950,-5.632050,12.949643,115.780159,25.668140
14.3772879,10.510051,4.813950,-5.781000,12.924986,116.568871,24.609343
14.3797655,10.458000,4.600950,-5.953050,12.883219,117.521271,23.746880
14.3822422,10.498051,4.435050,-6.099000,12.925809,118.154236,22.902313
14.3847198,10.621051,4.330050,-6.216000,13.045870,118.455276,22.180017
14.3871956,10.750051,4.296000,-6.268950,13.165065,118.436256,21.782934
14.3896723,10.956000,4.332000,-6.264000,13.343083,117.999039,21.573832
14.3921490,11.044050,4.323000,-6.187950,13.377223,117.553299,21.376991
14.3946257,11.098950,4.306050,-6.099000,13.376344,117.126350,21.204716
14.3971014,11.053950,4.251000,-5.983950,13.269080,116.805901,21.035168
14.3995790,10.999050,4.219950,-5.917050,13.183269,116.668663,20.990059
14.4020548,10.921950,4.201050,-5.881050,13.096739,116.682549,21.038883
14.4045305,10.881001,4.210050,-5.782950,13.021645,116.365959,21.152328
14.4070082,10.881001,4.201050,-5.650950,12.960642,115.849487,21.111097
14.4094839,10.924951,4.251000,-5.473950,12.937917,115.030060,21.261477
14.4119596,10.861951,4.351950,-5.290050,12.841577,114.327202,21.834005
14.4144373,10.786051,4.452000,-5.079000,12.726171,113.521858,22.428648
14.4169140,10.672951,4.573950,-4.834950,12.578141,112.606064,23.197813
14.4193897,10.510051,4.663050,-4.615050,12.389668,111.869377,23.925680
14.4218674,10.338000,4.756050,-4.425000,12.209622,111.248833,24.705038
14.4243431,10.182000,4.806000,-4.327050,12.062095,111.022301,25.267754
14.4268208,9.955050,4.828050,-4.282050,11.863770,111.157631,25.872688
14.4292984,9.727051,4.854000,-4.255050,11.674001,111.376167,26.520149
14.4317741,9.445050,4.902000,-4.272000,11.466846,111.873116,27.429403
14.4342499,9.162001,4.978950,-4.216950,11.247883,112.018784,28.521196
14.4367275,8.872951,5.127000,-4.117050,11.043798,111.887970,30.020338
14.4392033,8.502001,5.278050,-3.978000,10.768766,111.678719,31.832050
14.4416790,8.068050,5.407050,-3.835950,10.442420,111.551849,33.829224
14.4441557,7.632000,5.557950,-3.738000,10.154353,111.599594,36.063713
14.4466324,7.242001,5.719050,-3.781050,9.972485,112.280937,38.298359
14.4491100,6.985950,5.854950,-3.901050,9.914744,113.169930,39.966496
14.4515867,6.793951,5.953050,-4.027950,9.890448,114.032616,41.225750
14.4540625,6.580950,6.066000,-4.105050,9.846660,114.638885,42.668358
14.4565392,6.409050,6.127950,-4.180950,9.803472,115.244156,43.715549
14.4590149,6.232050,6.235950,-4.276950,9.798869,115.879112,45.017925
14.4614916,6.106950,6.370050,-4.393950,9.857950,116.469833,46.208008
14.4639692,6.031050,6.541950,-4.540050,9.989131,117.032707,47.326920
14.4664459,6.064050,6.772050,-4.686000,10.227022,117.270882,48.157063
14.4689217,6.160050,6.997050,-4.887000,10.525574,117.664780,48.640015
14.4713993,6.289050,7.206000,-5.095950,10.837311,118.048759,48.887112
14.4738750,6.349051,7.378050,-5.268000,11.067877,118.422661,49.286942
14.4763517,6.282000,7.543050,-5.407050,11.207021,118.846840,50.211803
14.4788294,6.189000,7.665000,-5.401950,11.235525,118.737137,51.081333
14.4813061,6.009000,7.774951,-5.344950,11.185993,118.543465,52.300758
14.4837818,5.881950,7.864050,-5.251050,11.136165,118.133743,53.205193
14.4862585,5.773950,7.962000,-5.140950,11.097807,117.596390,54.050812
14.4887342,5.715000,8.082001,-5.038050,11.106841,116.974815,54.734844
14.4912100,5.664000,8.251950,-4.878000,11.134203,115.983322,55.534950
14.4936886,5.638050,8.326051,-4.696050,11.097911,115.033447,55.895802
14.4961643,5.599950,8.356951,-4.488000,11.015453,114.043350,56.174160
14.4986401,5.503950,8.316000,-4.236000,10.834805,113.014389,56.501389
14.5011177,5.439000,8.194051,-3.990000,10.613449,112.082306,56.424816
14.5035934,5.322000,8.098950,-3.694950,10.371564,110.870552,56.690197
14.5060692,5.164050,7.998000,-3.409950,10.112526,109.706413,57.150978
14.5085459,4.975050,7.897050,-3.085050,9.830161,108.290504,57.789547
14.5110216,4.812000,7.834950,-2.782950,9.606592,106.839500,58.442955
14.5134974,4.594050,7.807050,-2.493000,9.395232,105.387596,59.525360
14.5159750,4.381050,7.881001,-2.235000,9.289725,103.921272,60.930305
14.5184507,4.246950,7.942950,-2.032950,9.233630,102.718903,61.867397
14.5209274,4.165950,8.074950,-1.855950,9.273862,101.544388,62.710323
14.5234041,4.221000,8.203950,-1.630950,9.369185,100.024887,62.773804
14.5258799,4.338000,8.245050,-1.392000,9.420020,98.497742,62.249622
14.5283566,4.386000,8.235001,-1.200000,9.407031,97.328857,61.960026
14.5308332,4.417050,8.214001,-1.104000,9.391431,96.750954,61.731014
14.5333099,4.558050,8.173050,-1.108950,9.423605,96.758110,60.851913
14.5357876,4.783050,8.119950,-1.191000,9.498928,97.202850,59.499825
14.5382633,5.008050,8.106000,-1.264950,9.611862,97.562233,58.291389
14.5407400,5.209050,8.065050,-1.279050,9.685825,97.588287,57.142414
14.5432167,5.359950,8.005051,-1.252950,9.714926,97.410172,56.194881
14.5456934,5.434050,7.866000,-1.263000,9.643549,97.525558,55.362213
14.5481701,5.527950,7.749001,-1.263000,9.602104,97.558228,54.496853
14.5506468,5.619000,7.653000,-1.300950,9.583009,97.802330,53.713070
14.5531225,5.671950,7.560000,-1.306050,9.540985,97.867828,53.120644
14.5555983,5.686050,7.498050,-1.258050,9.493925,97.614723,52.825603
14.5580759,5.703000,7.443000,-1.227000,9.456637,97.455154,52.539822
14.5605507,5.712000,7.380000,-1.252950,9.416010,97.646797,52.260712
14.5630274,5.707050,7.288950,-1.377000,9.359239,98.460487,51.940022
14.5655022,5.761950,7.198050,-1.476000,9.337590,99.094933,51.323158
14.5679798,5.901000,7.095000,-1.630950,9.371277,100.022629,50.249279
14.5704565,5.983050,6.991951,-1.786950,9.374298,100.989105,49.446217
14.5729342,6.019050,6.870000,-1.930950,9.335654,101.937004,48.777252
14.5754108,6.037951,6.766950,-2.115000,9.312448,103.127304,48.258404
14.5778866,6.153000,6.667050,-2.259000,9.349442,103.982101,47.296177
14.5803642,6.307950,6.609000,-2.371050,9.438803,104.548676,46.335125
14.5828409,6.375000,6.595050,-2.509950,9.509741,105.303658,45.971989
14.5853176,6.507000,6.600000,-2.658000,9.641890,106.002075,45.406532
14.5877962,6.598050,6.640050,-2.815950,9.775178,106.742531,45.181782
14.5902719,6.691051,6.705000,-2.962050,9.924764,107.364555,45.059666
14.5927477,6.760950,6.685950,-3.051000,9.986039,107.789848,44.680439
14.5952253,6.730050,6.681000,-3.130050,9.986318,108.266296,44.790447
14.5977020,6.712950,6.669000,-3.208950,9.991828,108.732941,44.811825
