Keuwl Accelerometer Data File
2022-10-21 18-20-21

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-2.315250,4.708714,7.811079,9.409852,33.891422,116.183105
0.0024969,-2.389511,4.667991,7.885339,9.469872,33.625340,117.107582
0.0049937,-2.391906,4.720692,8.029069,9.616241,33.389496,116.870674
0.0075253,-2.339206,4.691946,8.146448,9.687665,32.763729,116.498901
0.0100221,-2.322437,4.620081,8.247060,9.734108,32.087997,116.687904
0.0125190,-2.353579,4.627267,8.354857,9.836390,31.855434,116.959366
0.0150158,-2.343997,4.627267,8.450677,9.915637,31.541925,116.865028
0.0175126,-2.308064,4.610499,8.534519,9.971052,31.137407,116.593025
0.0200094,-2.310460,4.588940,8.584825,10.004789,30.899263,116.724541
0.0225063,-2.245781,4.699132,8.620757,10.071883,31.138140,115.543785
0.0250031,-2.195476,4.684760,8.668668,10.095191,30.829872,115.109764
0.0274999,-2.152356,4.639245,8.627944,10.029788,30.657366,114.888725
0.0299968,-2.126006,4.615290,8.601594,9.990407,30.572603,114.732880
0.0324936,-2.114028,4.543425,8.635131,9.983852,30.127604,114.952278
0.0349905,-2.066118,4.423650,8.608780,9.896899,29.559233,115.035484
0.0374885,-2.063723,4.356576,8.560870,9.824826,29.384005,115.347054
0.0399854,-2.099655,4.277524,8.615967,9.845844,28.944765,116.144463
0.0424822,-2.008626,4.342203,8.632735,9.869823,28.995293,114.824425
0.0449791,-1.979880,4.435627,8.572847,9.853346,29.536213,114.054008
0.0474759,-1.759495,4.526657,8.536915,9.821678,29.635229,111.240921
0.0499727,-1.622951,4.866817,8.247060,9.712563,31.884716,108.442139
0.0524696,-2.178707,4.572171,8.177590,9.618965,31.771702,115.478485
0.0549664,-2.485331,4.397299,8.230291,9.656646,31.538054,119.474915
0.0574632,-2.688948,4.440419,8.342879,9.826057,31.890785,121.197502
0.0599600,-2.712903,4.414068,8.512960,9.965658,31.325268,121.575043
0.0624569,-2.593128,4.454792,8.536915,9.972382,31.123428,120.203629
0.0649538,-2.557196,4.450000,8.536915,9.960957,31.014418,119.883858
0.0675224,-2.504495,4.390113,8.421931,9.822144,30.969278,119.704124
0.0700192,-2.451794,4.378136,8.304551,9.702831,31.141857,119.249207
0.0725161,-2.420652,4.366158,8.199149,9.599424,31.336329,119.004532
0.0750130,-2.391906,4.382926,8.124889,9.536513,31.572653,118.622742
0.0775098,-2.365556,4.373344,8.079374,9.486743,31.608528,118.409096
0.0800066,-2.358370,4.394904,7.957204,9.391176,32.080101,118.218658
0.0825034,-2.279318,4.423650,7.803892,9.255523,32.524605,117.260117
0.0850003,-2.252968,4.497910,7.794310,9.276763,32.839050,116.605927
0.0874971,-2.217035,4.548216,7.789519,9.288602,33.006321,115.986992
0.0899940,-2.169125,4.581753,7.803892,9.305820,33.007072,115.334137
0.0924908,-2.116424,4.667991,7.770355,9.308480,33.409050,114.389099
0.0949877,-2.085283,4.711110,7.755982,9.311188,33.594486,113.875656
0.0974845,-2.042164,4.691946,7.873362,9.390134,33.020912,113.521027
0.0998901,-1.982276,4.768602,7.911689,9.447952,33.133709,112.572327
0.1023869,-2.027791,4.809326,7.988346,9.542286,33.159393,112.862099
0.1048837,-2.094865,4.854840,8.002719,9.591738,33.453384,113.340210
0.1073806,-2.166729,4.859631,8.081770,9.676039,33.359646,114.030319
0.1098774,-2.250572,4.797348,8.132075,9.706198,33.089062,115.132607
0.1123743,-2.317646,4.809326,8.156031,9.747919,33.207302,115.729729
0.1148711,-2.415862,4.828489,8.263828,9.871248,33.158424,116.580399
0.1173680,-2.463772,4.823699,8.297365,9.908810,33.136303,117.056313
0.1198648,-2.535636,4.775788,8.409953,9.998246,32.739002,117.965424
0.1223616,-2.593128,4.802139,8.534519,10.130295,32.597603,118.368805
0.1248585,-2.676971,4.816512,8.649504,10.255675,32.500465,119.064880
0.1273553,-2.727277,4.773393,8.831561,10.402874,31.901922,119.741470
0.1298610,-2.727277,4.763811,9.004038,10.545361,31.368313,119.791092
0.1323578,-2.739254,4.763811,9.083089,10.616021,31.173698,119.899467
0.1348547,-2.768000,4.739856,9.243587,10.750440,30.702116,120.284241
0.1373515,-2.763209,4.711110,9.334617,10.815034,30.331858,120.392914
0.1398483,-2.789560,4.691946,9.478347,10.937781,29.937603,120.733269
0.1423451,-2.849447,4.615290,9.588539,11.016366,29.495960,121.690880
0.1448420,-2.892566,4.538634,9.739456,11.127584,28.925022,122.510208
0.1473388,-2.926103,4.488328,9.828090,11.193683,28.597574,123.101776
0.1498357,-2.938081,4.426045,9.902350,11.237381,28.212864,123.576851
0.1523325,-2.899753,4.375740,9.950260,11.250037,27.814291,123.531982
0.1548294,-2.878193,4.325435,10.002961,11.271762,27.447268,123.640244
0.1573262,-2.820701,4.287107,9.979006,11.221239,27.215055,123.342911
0.1598430,-2.770396,4.296689,9.986193,11.218764,27.110033,122.812897
0.1623398,-2.727277,4.275129,10.014938,11.225585,26.854961,122.535439
0.1648367,-2.593128,4.284711,10.122736,11.293929,26.324242,121.182533
