Keuwl Accelerometer Data File
2022-10-19 18-25-05

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
12.0379782,12.333206,-4.283751,-8.288139,15.464532,122.408028,340.846100
12.0429916,12.048162,-4.372584,-7.979166,15.097840,121.903969,340.052887
12.0480051,11.499606,-4.398905,-7.708478,14.526250,122.049957,339.066803
12.0530186,10.943873,-4.427619,-7.425826,13.946866,122.170258,337.972961
12.0580320,10.481461,-4.528118,-7.052247,13.420098,121.701836,336.635071
12.0630560,9.985548,-4.537689,-6.482157,12.740492,120.582855,335.561737
12.0680695,9.592526,-4.439583,-5.991030,12.149852,119.544205,335.164490
12.0730829,9.238090,-4.504189,-5.705985,11.755351,119.038330,334.007660
12.0780964,8.823833,-4.566403,-5.420940,11.318068,118.617722,332.638092
12.0831099,8.567501,-4.587938,-5.298607,11.069168,118.599327,331.830750
12.0881243,8.382955,-4.669593,-5.583652,11.102080,120.194527,330.880707
12.0931301,8.203195,-4.796413,-6.139385,11.313268,122.865662,329.685150
12.0981436,8.021339,-4.810770,-6.664011,11.484530,125.468819,329.046936
12.1031570,7.985148,-4.774878,-7.351648,11.857858,128.314758,329.121857
12.1081705,8.140981,-4.729414,-8.003095,12.356878,130.365646,329.846008
12.1131840,8.181659,-4.597509,-8.472686,12.643696,132.075668,330.667114
12.1181993,8.287242,-4.394120,-8.896813,12.928262,133.485245,332.066254
12.1232166,8.632108,-4.221537,-9.229715,13.323750,133.846329,333.939026
12.1282301,9.027223,-4.058527,-9.375677,13.633258,133.448822,335.791901
12.1332436,9.456136,-3.989135,-9.346964,13.881550,132.325165,337.127228
12.1382580,9.839287,-3.881457,-9.174680,14.001858,130.938400,338.471466
12.1432714,10.045368,-3.814458,-8.959027,13.990129,129.820313,339.207062
12.1482849,10.306485,-3.850351,-8.700303,14.026550,128.336136,339.515045
12.1532965,10.450354,-3.938885,-8.506186,14.038515,127.294914,339.347870
12.1583109,10.481461,-4.041777,-8.252247,13.939030,126.300804,338.912750
