Keuwl Accelerometer Data File
2022-10-19 18-27-15

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
11.6666746,-10.254143,-4.437191,-11.244173,15.851420,135.181885,203.399185
11.6717033,-10.244571,-4.164110,-11.545967,15.987508,136.235321,202.120270
11.6767321,-10.198809,-3.831208,-12.008381,16.214039,137.783936,200.588821
11.6817608,-10.170094,-3.380759,-12.525828,16.485046,139.449188,198.387924
11.6867895,-10.359426,-2.858526,-13.002598,16.868801,140.426453,195.426025
11.6918173,-10.498509,-2.341078,-13.266108,17.078903,140.964340,192.570801
11.6968746,-10.687542,-1.773381,-13.313964,17.164791,140.864502,189.421234
11.7019033,-10.934302,-1.135993,-13.225430,17.197716,140.266190,185.931320
11.7069321,-11.250454,-0.451047,-12.921243,17.138689,138.931305,182.295837
11.7119608,-11.482857,0.296411,-12.523436,16.993538,137.472488,178.521332
11.7169886,-11.679367,0.833001,-12.130713,16.859884,136.013351,175.920425
11.7220173,-11.554940,1.055833,-11.785549,16.538759,135.447006,174.779099
11.7270241,-11.114063,1.072583,-11.328220,15.906018,135.413956,174.487640
11.7320528,-10.055239,0.947857,-10.870593,14.838330,137.104996,174.614929
11.7370815,-8.495717,0.926321,-10.436894,13.489405,140.688278,173.777390
11.7421103,-7.008278,0.950250,-9.984351,12.235449,144.688187,172.278381
11.7471390,-6.128916,1.089332,-9.495618,11.354163,146.752655,169.921692
11.7521677,-5.669195,1.324128,-8.970991,10.694474,147.018204,166.853363
11.7571831,-5.123033,1.517947,-8.726624,10.232478,148.521469,163.495529
11.7622108,-4.557430,1.647458,-8.693125,9.952623,150.862122,160.125656
11.7672396,-4.080959,1.846362,-8.666803,9.755857,152.669037,155.656418
11.7722683,-3.625725,2.162513,-8.592327,9.573423,153.833817,149.186615
11.7772970,-3.160919,2.574378,-8.594720,9.512520,154.624237,140.839264
11.7823257,-2.746661,2.943471,-8.506186,9.410810,154.672043,133.019043
11.7873535,-2.466402,3.099005,-8.484650,9.363560,154.976593,128.515198
11.7923822,-2.372783,3.305086,-8.503793,9.426992,154.431305,125.675270
11.7974119,-2.339283,3.911069,-8.271390,9.443760,151.146652,120.884430
11.8024406,-2.054238,4.711169,-7.741978,9.292644,146.421600,113.558929
11.8074694,-1.575076,5.336593,-7.200602,9.099931,142.305374,106.443771
11.8124981,-1.239781,5.561817,-6.644868,8.753578,139.385193,102.566322
11.8175535,-0.976272,5.588138,-6.139385,8.358974,137.262146,99.909805
11.8225822,-0.914058,5.554639,-5.909375,8.161509,136.390228,99.344711
11.8276110,-0.652941,5.492126,-5.794519,8.010383,136.333923,96.779892
11.8326387,-0.032303,5.305486,-5.739484,7.816067,137.249680,90.348846
11.8376684,0.794118,5.075476,-5.897410,7.821159,138.940933,81.107498
11.8426971,1.498206,4.945964,-6.005387,7.922869,139.286560,73.147659
11.8477154,2.142773,4.737490,-6.151349,8.054463,139.793182,65.662697
11.8527441,2.518745,4.529314,-6.364609,8.207741,140.844925,60.921627
11.8577728,2.626422,4.493422,-6.371788,8.227309,140.756821,59.693554
11.8628025,2.688935,4.747061,-6.367002,8.384728,139.407547,60.470966
11.8678312,2.700899,5.022834,-6.469893,8.624572,138.605087,61.732010
11.8728600,2.686542,5.286344,-6.489335,8.790586,137.579514,63.060135
11.8778973,2.528316,5.472983,-6.405287,8.796228,136.734512,65.204803
11.8829250,2.444567,5.619245,-6.199205,8.716764,135.331161,66.489281
11.8879538,2.545066,5.746065,-5.979065,8.674320,133.573410,66.110336
11.8929825,2.732005,5.825327,-5.667400,8.574247,131.374603,64.874008
11.8980112,2.957230,5.882754,-5.262714,8.429008,128.635040,63.311565
11.9030399,3.143870,5.777171,-4.773980,8.127147,125.973541,61.445477
11.9080544,3.215954,5.614459,-4.338187,7.790018,123.841026,60.195984
11.9130821,3.505784,5.417949,-4.067200,7.628028,122.221352,57.094364
11.9181118,3.754937,5.180760,-4.103392,7.601161,122.672577,54.065964
11.9231405,3.903292,5.025227,-4.184748,7.615819,123.331413,52.162102
11.9281693,4.018446,4.984250,-4.246961,7.682925,123.557884,51.123234
11.9331980,4.083053,5.089833,-4.268497,7.797293,123.191093,51.263493
11.9382324,4.240979,5.247759,-4.366901,8.037084,122.911575,51.056576
11.9432611,4.403990,5.382056,-4.647161,8.364076,123.752708,50.707470
11.9482889,4.504488,5.465805,-5.090132,8.722092,125.703491,50.507324
11.9533176,4.521537,5.635994,-5.428118,9.037323,126.915276,51.261295
11.9583464,4.758427,5.789135,-5.705985,9.418863,127.286720,50.581226
11.9633751,4.875974,6.007181,-5.873482,9.713863,127.203621,50.934074
11.9683981,4.904688,6.249156,-5.887839,9.888103,126.544495,51.873184
11.9734268,4.792225,6.464808,-5.633901,9.823442,124.995766,53.451244
11.9784555,4.506881,6.785746,-5.248357,9.690386,122.792938,56.409126
11.9834843,4.224229,7.056434,-4.843372,9.544403,120.494576,59.093781
11.9885130,3.992126,7.245766,-4.376472,9.359044,117.879890,61.147003
11.9935427,4.193122,7.166803,-3.921238,9.182672,115.278961,59.669132
11.9986238,4.540680,6.927222,-3.631407,9.043854,113.674057,56.755817
12.0036526,4.727320,6.759425,-3.525824,8.970442,113.144356,55.032318
12.0086813,4.928617,6.694818,-3.346362,8.961584,111.926193,53.640106
12.0137100,5.165805,6.617949,-3.044568,8.930408,109.933029,52.025295
12.0187387,5.381458,6.608378,-2.761915,8.958735,107.956390,50.842739
12.0237665,5.453243,6.663712,-2.510370,8.969107,106.253685,50.704853
12.0287428,5.216054,6.847960,-2.333002,8.918782,105.164017,52.703667
12.0337715,5.165805,7.159625,-2.172384,9.092031,103.823555,54.188839
12.0388002,5.161019,7.447062,-2.000101,9.278753,102.448212,55.276978
12.0438290,5.220840,7.494919,-1.973780,9.344880,102.193565,55.139549
12.0488577,5.407779,7.425228,-2.126920,9.428779,103.036842,53.934219
12.0538864,5.386244,7.447062,-2.560619,9.540814,105.568237,54.122875
12.0589018,4.993223,7.499704,-3.006283,9.498188,108.452065,56.344749
12.0639315,4.590930,7.545168,-3.183352,9.388287,109.820648,58.681179
12.0689602,4.423132,7.633702,-3.221637,9.392362,110.060120,59.911068
12.0739889,4.645964,7.722536,-3.080460,9.524273,108.870636,58.968414
12.0790176,5.108377,7.628917,-2.934199,9.638745,107.723099,56.193451
12.0840454,5.275875,7.533204,-2.955734,9.660248,107.816460,54.994549
12.0890799,5.237590,7.451848,-3.080460,9.615176,108.685593,54.898232
12.0941086,5.132306,7.461419,-3.078067,9.564927,108.772285,55.478027
12.0991373,4.993223,7.676773,-2.919842,9.612002,107.684204,56.958714
12.1041660,4.940580,8.079366,-2.536691,9.804095,104.995186,58.553967
12.1091938,4.856832,8.539386,-2.052743,10.036119,101.802307,60.370663
12.1142225,4.832903,8.941679,-1.587937,10.287474,98.879471,61.609146
12.1192684,4.801797,9.176475,-1.281357,10.435843,97.052811,62.378174
12.1242971,4.777569,9.226724,-1.120738,10.450534,96.156364,62.625019
12.1293259,4.700999,9.047262,-1.185644,10.264409,96.633049,62.543404
12.1343536,4.677071,8.733205,-1.461117,10.013927,98.389893,61.828709
12.1393824,4.797011,8.407481,-1.743770,9.835537,100.212112,60.292446
